原始图片,省,市,经度,纬度
101218_56505.jpg,云南省,潞西市,98.00491333007812,24.062766393397613
101217_56506.jpg,云南省,潞西市,98.00216674804688,24.0602584666561
101217_56505.jpg,云南省,潞西市,98.00216674804688,24.062766393397613
101197_56383.jpg,云南省,潞西市,97.94723510742188,24.36836450938788
101189_56404.jpg,云南省,潞西市,97.92526245117188,24.31581384097007
101168_56431.jpg,云南省,潞西市,97.86758422851562,24.24821668647847
101167_56437.jpg,云南省,潞西市,97.86483764648438,24.23319021305068
101165_56352.jpg,云南省,潞西市,97.85934448242188,24.445899410914517
101164_56435.jpg,云南省,潞西市,97.85659790039062,24.238199234683847
101163_56439.jpg,云南省,潞西市,97.85385131835938,24.228180994300978
101156_56445.jpg,云南省,潞西市,97.83462524414062,24.213152155657994
101154_56443.jpg,云南省,潞西市,97.82913208007812,24.218161965574094
101154_56442.jpg,云南省,潞西市,97.82913208007812,24.22066679664971
101153_56441.jpg,云南省,潞西市,97.82638549804688,24.22317157846527
101152_56442.jpg,云南省,潞西市,97.82363891601562,24.22066679664971
101152_56441.jpg,云南省,潞西市,97.82363891601562,24.22317157846527
101152_56440.jpg,云南省,潞西市,97.82363891601562,24.22567631101697
101152_56439.jpg,云南省,潞西市,97.82363891601562,24.228180994300978
101152_56426.jpg,云南省,潞西市,97.82363891601562,24.260737391897642
101150_56440.jpg,云南省,潞西市,97.81814575195312,24.22567631101697
101145_56432.jpg,云南省,潞西市,97.80441284179688,24.24571239747332
101145_56430.jpg,云南省,潞西市,97.80441284179688,24.250720926181607
101134_56490.jpg,云南省,潞西市,97.77420043945312,24.100379410135734
101134_56447.jpg,云南省,潞西市,97.77420043945312,24.20814214874754
101133_56453.jpg,云南省,潞西市,97.77145385742188,24.193110946355635
101132_56540.jpg,云南省,潞西市,97.76870727539062,23.974959818876012
101131_56488.jpg,云南省,潞西市,97.76596069335938,24.10539364502099
101129_56455.jpg,云南省,潞西市,97.76046752929688,24.188100151773412
101126_56453.jpg,云南省,潞西市,97.75222778320312,24.193110946355635
101126_56452.jpg,云南省,潞西市,97.75222778320312,24.195616269821635
101106_56572.jpg,云南省,潞西市,97.69729614257812,23.894627114771534
101092_56569.jpg,云南省,潞西市,97.65884399414062,23.90216042880034
102730_55912.jpg,云南省,楚雄市,102.15774536132812,25.541202383337954
102710_55751.jpg,云南省,楚雄市,102.10281372070312,25.939522015471386
102699_55809.jpg,云南省,楚雄市,102.07260131835938,25.796181915156307
102650_55730.jpg,云南省,楚雄市,101.93801879882812,25.99137809334359
102649_55730.jpg,云南省,楚雄市,101.93527221679688,25.99137809334359
102642_55724.jpg,云南省,楚雄市,101.91604614257812,26.00618991605878
102632_56138.jpg,云南省,楚雄市,101.88858032226562,24.97983402969962
102623_55869.jpg,云南省,楚雄市,101.86386108398438,25.64771644670085
